12;Quelle animatrice est la compagne de Vincent Cerutti ?;Hapsatou Sy;Emmanuelle Gaume;Sophie Coste;Maïtena Biraben;Confirmé;Hapsatou Sy aurait appelé la police après une violente dispute avec Vincent Cerutti la nuit du 12 au 13 septembre.;http://fr.wikipedia.org/wiki/Hapsatou_Sy
13;Quel vainqueur de The Voice a sorti un album baptisé Ma bonne étoile ?;Lisandro Cuxi;Slimane;Lilian Renaud;Yoann Fréget;Confirmé;À 18 ans, Lisandro Cuxi a remporté la sixième saison de The Voice et poursuit sa carrière depuis sa victoire sur TF1.;http://fr.wikipedia.org/wiki/Lisandro_Cuxi
14;Qui a entamé en 2017 sa sixième saison en tant que Super Nanny ?;Sylvie Jenaly;Vanessa Burggraf;Rebecca Fitoussi;Linda Hardy;Confirmé;Une pétition fut envoyée au CSA reprochant notamment à Sylvie Jenaly d'employer des moyens éducatifs trop violents.;http://fr.wikipedia.org/wiki/Super_Nanny
15;Quelle Miss France 2009 est devenue businesswoman à Las Vegas ?;Chloé Mortaud;Malika Ménard;Laury Thilleman;Delphine Wespiser;Confirmé;L'ex-compagne de Vincent Cerruti est partagée entre sa ligne de soin cosmétique bio et les circuits de son compagnon.;http://fr.wikipedia.org/wiki/Chloé_Mortaud
16;Quelle patineuse Jean Dujardin a-t-il rencontré aux JO de Sotchi ?;Nahalie Péchalat;Anna Cappellini;Isabelle Delobel;Barbara Fusar;Confirmé;Nathalie Péchalat et Jean Dujardin se sont tous deux engagés pour la candidature de Paris aux JO 2024.;http://fr.wikipedia.org/wiki/Nathalie_Péchalat
17;Quelle marque de cosmétiques a été lancée par Rihanna ?;Fenty Beauty;Wavy Gloss;For People;From Me To You;Confirmé;Pour le lancement exceptionnel de sa marque, Rihanna propose un tuto vidéo exclusif où elle teste elle-même les produits.;http://fr.wikipedia.org/wiki/Rihanna
18;Quelle actrice de Grey's Anatomy a été opérée d'une tumeur au cerveau ?;Kate Walsh;Ellen Pompeo;Chandra Wilson;Jessica Capshaw;Confirmé;La comédienne âgée de 49 ans a expliqué qu'il s'agissait d'une tumeur non cancéreuse « de la taille d'un citron ».;http://fr.wikipedia.org/wiki/Kate_Walsh
19;Quel gagnant portugais de l'Eurovision attend toujours une greffe du cœur ?;Salvador Sobral;Alexander Rybak;Dima Bilan;Dave Benton;Confirmé;En mai 2017, le Portugais de 27 ans avait raflé le trophée de l'Eurovision avec le morceau mélancolique Amar Pelos Dois.;http://fr.wikipedia.org/wiki/Salvador_Sobral
20;Quelle actrice est à 60 ans à nouveau atteinte d'un cancer de la peau ?;Melanie Griffith;Sissy Spacek;Kathleen Turner;Jamie Lee Curtis;Confirmé;Melanie Griffith entame un long combat contre un cancer de la peau, une épreuve déjà du surmontée en 2009.;http://fr.wikipedia.org/wiki/Melanie_Griffith
21;Quelle comédienne a donné un rein pour combattre le lupus de Selena Gomez ?;Francia Raisa;Hayden Panettiere;Solange Knowles;Marcy Rylan;Expert;Francia Raisa a accepté de sacrifier l'un de ses organes : « un cadeau ultime » offert par « une sœur ».;http://fr.wikipedia.org/wiki/Francia_Raisa
22;Qui a été éliminé après 138 victoires de Tout le monde veut prendre sa place ?;Enzo Diliberto;Dominique Bréard;Mathieu Dosset;Julien Sorbon;Expert;Le kinésithérapeute belge Enzo Diliberto aura tout de même engrangé au passage la modique somme de 130 000 euros.;http://fr.wikipedia.org/wiki/Tout_le_monde_veut_prendre_sa_place
23;Qui ne cache désormais plus son idylle en public avec Jamie Foxx ?;Katie Holmes;Drew Barrymore;Sarah Douglas;Uma Thurman;Expert;Une clause de son divorce avec Tom Cruise l'interdisait de vivre au grand jour une nouvelle relation pour les cinq années à venir.;http://fr.wikipedia.org/wiki/Katie_Holmes
24;Quel DJ est le premier à être fait chevalier de la Légion d'honneur ?;Laurent Garnier;Claude Challe;Alex Gopher;David Guetta;Expert;À 51, Laurent Garnier est l'un des DJ's et musiciens qui a grandement participé à la popularisation de la techno en France.;http://fr.wikipedia.org/wiki/Laurent_Garnier
25;Qui file toujours le parfait amour avec Raphaël après 15 ans de vie commune ?;Mélanie Thierry;Leïla Bekhti;Clotilde Hesme;Déborah François;Expert;C'est sur Instagram qu'elle le prouve en posant tendrement avec lui et un de leurs deux fils.;http://fr.wikipedia.org/wiki/Mélanie_Thierry
26;Quelle ex de Thibault Kuro est une spécialiste du pole-dance ?;Shanna Kress;Marlène Duval;Amélie Neten;Diana Jones;Expert;L'ancienne starlette de télé-réalité, adepte du string et de la chirurgie esthétique, vit désormais à Miami.;http://fr.wikipedia.org/wiki/Les_Anges_(émission_de_télévision)
27;Qui a troqué en dix jours sa vie d'employée de fast-food à star des podiums ?;Remington Williams;Filippa Hamilton;Juliette B.;Fiona Walter;Expert;En un rien de temps, l'ex-employée a signé un contrat avec l'agence DNA Models qui a entre autre employé Linda Evangelista.;http://fr.wikipedia.org/wiki/Mannequinat
28;Quel chanteur, compositeur et producteur canadien est le mentor de Shy'm ?;K. Maro;Lemar;Victor Ike;Craig David;Expert;Pour son come-back, l'artiste se réinvente, change de nom et propose un projet mêlant images et musique avec Mary.;http://fr.wikipedia.org/wiki/K._Maro
29;Quelle est la pire phobie de l'humoriste Jamel Bebbouze ?;Les souris;Les araignées;Les tortues;Les chats;Expert;« Je déteste les souris, je me suis fait mordre par une quand j'étais petit dans la nuque, depuis j'en ai très peur ! »;http://fr.wikipedia.org/wiki/Jamel_Bebbouze
30;Quel célèbre hockeyeur de 32 ans a annoncé être atteint d'une leucémie ?;Brian Boyle;Jimmy Hayes;Jeff Farkas;Steven Santini;Expert;Très apprécié au sein de la prestigieuse NHL, l'ancien joueur des Kings est atteint d'une leucémie myéloïde chronique.;http://fr.wikipedia.org/wiki/Brian_Boyle
