14;fr;Que réalise une équipe qui gagne tous ses matchs lors d'un Tournoi des Six Nations ?;Le Grand Chelem;Une Triple couronne;Un tie-break;Le Jeu décisif;Confirmé;Par extension, cette expression peut être employée pour toute compétition fonctionnant sur un système identique au Tournoi.;https://fr.wikipedia.org/wiki/Grand_Chelem_de_rugby_à_XV
15;fr;Quel est le pays des terribles All Blacks, rugbymen de renom ?;Nouvelle-Zélande;Écosse;Irlande;Pays de Galles;Confirmé;Le rugby à XV est le sport le plus populaire de Nouvelle-Zélande et attire principalement les meilleurs sportifs du pays.;https://fr.wikipedia.org/wiki/Équipe_de_Nouvelle-Zélande_de_rugby_à_XV
16;fr;Combien y a-t-il de joueurs sur le terrain à gazon d'une équipe de polo ?;Quatre;Cinq;Six;Sept;Confirmé;Le polo est un sport équestre qui serait né chez les peuples cavaliers des steppes d'Asie centrale il y a 2 500 ans au moins.;https://fr.wikipedia.org/wiki/Polo
17;fr;Dans quel sport frappe-t-on un palet avec une crosse de 135 cm ?;Hockey sur glace;Baseball;Cricket;Croquet;Confirmé;Sport de vitesse, le hockey sur glace est souvent qualifié de « sport collectif le plus rapide du monde ».;https://fr.wikipedia.org/wiki/Hockey_sur_glace
18;fr;Qui a marqué un but de la main gauche en Coupe du Monde de football 1986 ?;Diego Maradona;Laurent Blanc;Didier Deschamps;Fabio Cannavaro;Confirmé;En 1986, Maradona était capitaine d'une équipe d'Argentine qui voulait à tout prix venger la déroute de 1982.;https://fr.wikipedia.org/wiki/Diego_Maradona
19;fr;Quel sport américain dérivé des mêmes racines que le cricket se pratique en neuf manches ?;Baseball;Golf;Football américain;Basket-ball;Confirmé;Au baseball, les gants de réception de la balle que portent les joueurs de défense varient selon le poste occupé.;https://fr.wikipedia.org/wiki/Baseball
20;fr;Combien de joueurs dénombre-t-on dans une équipe de cricket ?;Onze;Dix;Douze;Treize;Confirmé;Un match de cricket peut durer, selon la forme jouée, de quelques heures à parfois plusieurs jours.;https://fr.wikipedia.org/wiki/Cricket
21;fr;Quel sport d'équipe se pratique en patin à roulettes sur une piste de forme ovale ?;Roller derby;Ultimate;Water-polo;Fistball;Expert;En 2013, on comptait plus de 1 250 ligues de roller derby autour du monde, principalement dans les pays anglophones.;https://fr.wikipedia.org/wiki/Roller_derby
22;fr;Où se jouent les matchs internationaux de rugby dans le Grand Londres ?;Twickenham;Rectory Field;Edgeley Park;Madejski Stadium;Expert;Le 18 septembre 2015, le stade a accueilli la cérémonie d'ouverture de la Coupe du monde de rugby 2015.;https://fr.wikipedia.org/wiki/Stade_de_Twickenham
23;fr;Quel sport souvent assimilé au volley-ball se pratique en plein air ?;Fistball;Water-polo;Roller derby;Ultimate;Expert;La dernière édition de la Coupe du monde masculine s'est tenue en Allemagne en août 2007. ;https://fr.wikipedia.org/wiki/Fistball
24;fr;Dans quel pays se trouve le terrain de rugby aujourd'hui appelé Coca-Cola Park ?;Afrique du Sud;États-Unis;Nouvelle-Zélande;France;Expert;Construit en 1928, le stade a notamment accueilli le finale de la Coupe du monde de rugby à XV de 1995.;https://fr.wikipedia.org/wiki/Ellis_Park_Stadium
25;fr;Quel sport se pratique sur le célèbre terrain londonien The Oval ?;Cricket;Tennis;Rugby;Football;Expert;Traditionnellement, il accueille les matchs de l'équipe du Surrey, ainsi que le dernier test-match de la saison sur le sol anglais.;https://fr.wikipedia.org/wiki/The_Oval
26;fr;Combien de cercles sont dessinés sur une patinoire de hockey sur glace ?;Cinq;Trois;Sept;Neuf;Expert;Le hockey se joue sur une surface de glace rectangulaire, d'une soixantaine de mètres de long avec des coins arrondis.;https://fr.wikipedia.org/wiki/Patinoire_de_hockey_sur_glace
27;fr;Quel sport fut pratiqué par les Suédois à l'Ice Stadium de Stockholm ?;Hockey;Basket-ball;Volley-ball;Cricket;Expert;Le club a été fondé en 1946 après des tentatives antérieures ajournées pour cause de Seconde Guerre mondiale.;https://fr.wikipedia.org/wiki/Nottingham_Panthers
28;fr;Combien de joueurs figurent dans une équipe de moto-ball ?;Cinq;Trois;Sept;Neuf;Expert;Chaque formation de moto-ball est composée de quatre joueurs plus un gardien qui n'est pas à moto.;https://fr.wikipedia.org/wiki/Moto-ball
29;fr;De quelle langue vient le mot polo, d'abord entraînement pour les unités de cavalerie ?;Le tibétain;Le russe;Le portugais;Le coréen;Expert;Le sport traditionnel de polo se joue sur un large terrain à gazon mesurant jusqu'à 300 mètres de long.;https://fr.wikipedia.org/wiki/Polo
30;fr;Quel sport collectif utilise un disque opposant deux équipes de sept joueurs ?;Ultimate;Roller derby;Fistball;Water-polo;Expert;L'ultimate se pratique dans sa version la plus courante sur terrain en herbe à l'extérieur (7 contre 7).;https://fr.wikipedia.org/wiki/Ultimate_(sport)
